instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time
at84_ftv38,,7.0,10.0,0.0,9.0,9.0,36316,7200,2731.71
t84_bays29,,7.0,8.0,0.0,8.0,8.0,194,7200,8.5
at84_ftv55,,6.0,10.0,30.0,10.0,7.0,42875,7200,7213.64
t84_bayg29,,7.0,10.0,0.0,8.0,8.0,2265,7200,18.55
at62_ft53,,2.0,7.0,42.8571,7.0,4.0,102183,7200,7202.35
t62_eil76,,3.0,7.0,28.5714,7.0,5.0,120388,7200,7213.67
t84_brazil58,,6.0,9.0,22.2222,9.0,7.0,82587,7200,7200.48
at62_ftv35,,4.0,7.0,0.0,6.0,6.0,1026339,7200,4942.87
t84_gr96,,6.0,10.0,40.0,10.0,6.0,1572,7200,7200.77
t62_st70,,4.0,7.0,28.5714,7.0,5.0,57460,7200,7210.09
t62_kroE100,,3.0,7.0,42.8571,7.0,4.0,13037,7200,7203.39
t62_gr21,,4.0,5.0,0.0,5.0,5.0,35,7200,2.27
t84_ulysses22,,6.0,7.0,0.0,7.0,7.0,21,7200,2.4
t84_eil76,,5.0,10.0,40.0,10.0,6.0,20776,7200,7204.76
t62_kroD100,,4.0,7.0,42.8571,7.0,4.0,3687,7200,7206.59
at84_ftv35,,7.0,10.0,0.0,9.0,9.0,75228,7200,1130.08
at84_ft70,,1.4269,9.0,62.5,8.0,3.0,2204,7200,7200.47
at62_ftv55,,3.0,7.0,28.5714,7.0,5.0,196824,7200,7202.41
at62_ftv38,,4.0,7.0,0.0,6.0,6.0,393501,7200,6512.51
at62_br17,,5.0,5.0,0.0,5.0,5.0,1,7200,0.1
t62_gr17,,4.0,5.0,0.0,5.0,5.0,1,7200,0.25
t84_att48,,7.0,9.0,0.0,8.0,8.0,14881,7200,1062.38
t84_kroE100,,5.0,11.0,45.4545,11.0,6.0,1489,7200,7200.14
at62_p43,,1.0,1.0,0.0,1.0,1.0,1,7200,0.13
at62_ftv33,,5.0,8.0,0.0,7.0,7.0,66153,7200,968.44
at62_ftv64,,4.0,8.0,25.0,8.0,6.0,45508,7200,7203.97
t62_pr76,,3.0,7.0,28.5714,7.0,5.0,56619,7200,7212.19
t84_hk48,,7.0,10.0,0.0,9.0,9.0,30363,7200,6703.65
t84_gr24,,7.0,7.0,0.0,7.0,7.0,1,7200,0.42
t84_berlin52,,7.0,9.0,0.0,9.0,9.0,17500,7200,2858.83
t84_eil51,,6.0,9.0,11.1111,9.0,8.0,90218,7200,7208.7
at62_ftv44,,4.0,6.0,0.0,6.0,6.0,28543,7200,1157.22
at84_ry48p,,5.0,9.0,22.2222,9.0,7.0,136038,7200,7201.05
t62_eil51,,4.0,7.0,28.5714,7.0,5.0,161057,7200,7201.78
at84_ftv44,,6.0,10.0,0.0,9.0,9.0,213217,7200,5379.41
t84_gr48,,6.0,9.0,0.0,8.0,8.0,43162,7200,3028.3
at62_ry48p,,3.0,7.0,42.8571,7.0,4.0,157189,7200,7200.05
t84_kroD100,,6.0,11.0,45.4545,11.0,6.0,694,7200,7202.09
t62_ulysses22,,4.0,5.0,0.0,5.0,5.0,6,7200,1.63
t62_att48,,5.0,8.0,0.0,6.0,6.0,125585,7200,2683.26
at84_ftv64,,6.0,11.0,36.3636,11.0,7.0,21930,7200,7210.46
at84_ftv33,,9.0,10.0,0.0,9.0,9.0,457,7200,30.06
t62_gr24,,4.0,6.0,0.0,5.0,5.0,302,7200,3.57
t62_kroB100,,3.0,8.0,50.0,8.0,4.0,4460,7200,7208.42
t84_kroA100,,5.0,10.0,40.0,10.0,6.0,1553,7200,7200.1
at62_ftv70,,3.0,9.0,55.5556,9.0,4.0,13000,7200,7204.07
t84_fri26,,6.0,8.0,0.0,8.0,8.0,214,7200,3.25
t62_swiss42,,4.0,7.0,0.0,6.0,6.0,1056232,7200,5710.29
at84_ftv47,,6.0,9.0,11.1111,9.0,8.0,151898,7200,7201.3
t84_pr76,,6.0,10.0,40.0,10.0,6.0,5047,7200,7202.9
at62_kro124p,,2.06123,7.0,57.1429,7.0,3.0,13386,7200,7217.31
t84_dantzig42,,7.0,9.0,0.0,9.0,9.0,2492,7200,219.61
t84_rat99,,5.0,10.0,40.0,10.0,6.0,4076,7200,7200.24
t62_hk48,,4.0,7.0,0.0,6.0,6.0,57544,7200,1772.3
t62_ulysses16,,4.0,4.0,0.0,4.0,4.0,1,7200,0.09
t62_berlin52,,4.0,7.0,14.2857,7.0,6.0,250113,7200,7200.08
t62_rat99,,4.0,7.0,42.8571,7.0,4.0,8611,7200,7216.61
at62_ftv47,,4.0,7.0,14.2857,7.0,6.0,535585,7200,7200.89
t62_gr48,,4.0,7.0,28.5714,7.0,5.0,466310,7200,7200.72
t62_fri26,,5.0,6.0,0.0,6.0,6.0,305,7200,8.77
t62_kroC100,,3.0,7.0,42.8571,7.0,4.0,2453,7200,7203.85
at84_ftv70,,5.0,10.0,30.0,10.0,7.0,18639,7200,7211.91
t62_burma14,,4.0,5.0,0.0,5.0,5.0,21,7200,0.87
at84_kro124p,,3.0,10.0,60.0,10.0,4.0,2020,7200,7219.51
t62_rd100,,4.0,8.0,50.0,8.0,4.0,2966,7200,7201.35
t62_gr96,,3.0,7.0,42.8571,7.0,4.0,5845,7200,7210.7
t84_swiss42,,7.0,9.0,0.0,9.0,9.0,2040,7200,124.64
t84_st70,,6.0,10.0,30.0,10.0,7.0,9404,7200,7200.42
t62_dantzig42,,4.0,7.0,0.0,6.0,6.0,97106,7200,850.94
t62_kroA100,,4.0,8.0,50.0,8.0,4.0,3509,7200,7201.77
t84_kroB100,,5.0,10.0,40.0,10.0,6.0,1478,7200,7200.45
at84_ft53,,4.0,10.0,60.0,10.0,4.0,40163,7200,7200.54
t84_burma14,,6.0,6.0,0.0,6.0,6.0,1,7200,0.08
at62_ft70,,1.31028,6.0,50.0,6.0,3.0,30566,7200,7204.31
t62_brazil58,,3.0,6.0,16.6667,6.0,5.0,233992,7200,7201.59
at84_br17,,6.0,6.0,0.0,6.0,6.0,1,7200,0.15
t84_kroC100,,6.0,11.0,45.4545,11.0,6.0,1480,7200,7200.08
t84_gr17,,7.0,8.0,0.0,8.0,8.0,31,7200,1.25
t84_ulysses16,,5.0,6.0,0.0,6.0,6.0,5,7200,0.71
t84_gr21,,6.0,8.0,0.0,8.0,8.0,411,7200,2.12
t62_bayg29,,5.0,6.0,0.0,5.0,5.0,854,7200,12.77
t84_rd100,,5.0,11.0,45.4545,11.0,6.0,1503,7200,7200.4
at84_p43,,2.0,2.0,0.0,2.0,2.0,1,7200,0.22
t62_bays29,,5.0,6.0,0.0,6.0,6.0,1660,7200,20.5
